Engine,Version,Published,STC,LTC,VLTC,Author,Home
Casanchess,1.0,2026-07-14,2307,2612,2705,Carlos Sanchez Mayordomo,https://github.com/casanche/casanchess
Erinn,1.1,2026-07-11,2395,2680,2703,Elias Niemann,https://github.com/NichtElias/Erinn
Eubos,4.5,2026-06-09,2313,2626,2697,Chris Bolt,https://github.com/cjbolt/EubosChess
Aconcagua,5.2.0,2026-05-31,2325,2570,2691,Tarifa Gabriel,https://github.com/gabtar/aconcagua
Lux,5.0,2026-04-10,2338,2622,2680,Sidhant Roymoulik,https://github.com/Sidhant-Roymoulik/Lux
Gaviota,1.0,2014-03-01,2418,2650,2676,Miguel Ballicora,
Driftwood,6.0.0,2026-06-29,2125,2526,2666,Joshua Meyer,https://github.com/jmeyer2030/Driftwood-Chess-Engine
Critter,1.6a,2012-06-01,2476,2589,2653,Richard Vida,
Chal,1.4.1,2026-04-26,2282,2560,2635,Naman Thanki,https://github.com/namanthanki/chal
Amira,1.82,2026-01-02,2287,2525,2622,Fauzi Dabat Akram,https://github.com/FauziAkram/amira
Aurora,1.27.0timehotfix,2026-05-28,2349,2587,2611,Winston Cai,https://github.com/kjljixx/Aurora-Chess-Engine
Potential,1.1.0,2026-05-16,2207,2466,2593,Eren Araz,https://github.com/ProgramciDusunur/Potential
Fatalii,0.10.1,2026-05-11,2260,2500,2591,Patrick Heck,https://github.com/FitzOReilly/fatalii
Houdini,1.5a,2017-11-20,2465,2543,2591,Robert Houdart,https://github.com/crossopterygian/Houdini_6
Reyna,1.0,2025-10-20,2268,2471,2584,Renz Targa,https://github.com/renztarga/Reyna
Zerog,1.0.2,2026-07-14,2132,2480,2545,Kristian Ekman,https://github.com/KristianEkman/ZeroG
TiltEngine,1.3,2026-03-15,2214,2475,2542,thealing,https://github.com/thealing/TiltEngine
Scuff,0.1,2026-03-02,2102,2410,2507,Kevin Lu,https://github.com/kevlu8/Scuff
Tuna,1.0.0,2025-09-28,2122,2414,2496,Bill Chow,https://github.com/billchow98/chess
Ruffian,2.1.0,2004-02-01,2140,2435,2491,Per-Ola Valfridsson,
Prophet,5.2,2026-05-16,2083,2381,2485,James Swafford,https://github.com/jswaff/prophet
Anodos,1.3.0,2026-02-16,2138,2419,2481,Tom Cant,https://github.com/tomcant/chess-rs
Tofiks,1.5.0,2026-04-23,2165,2419,2469,Arturs Priede,https://github.com/likeawizard/tofiks
Challenger,0.6.0,2025-10-02,2037,2356,2469,Simjanovski Nikola,https://github.com/SimjanovskiNikola/FRI_Challenger
CeeChess,2.2,2025-11-05,2136,2392,2468,Tom Reinitz,https://github.com/bctboi23/CeeChess
Hermann,2.8,2011-06-01,2126,2353,2450,Volker Annuss,
Ares,2.5,2024-02-06,1949,2309,2431,Charles Roberson,
Rexigon,1.0,2025-11-30,2030,2299,2423,,https://github.com/silentshark-uk/rexigon
Lolbot,0.3.1,2026-04-13,2076,2384,2418,Lorentz Vedeler,https://github.com/loldot/lolbot
Ufim,8.02,2006-07-01,2124,2341,2408,Niyaz Khasanov,
AnMon,5.75,2009-07-01,2087,2340,2400,Christian Barreteau,
LittleWing,0.8.0,2026-03-03,2048,2314,2377,Vincent Ollivier,https://github.com/vinc/littlewing
Soomi,1.2.0B,2026-04-24,2016,2211,2368,Otto Laukkanen,https://github.com/Koma1867/Soomi-V1-Chess-engine-in-golang
Zaraki,0.0.1,2026-07-02,2039,2250,2350,Timo Jokinen,https://github.com/timojokinen/zaraki-zig
SOS,5.1,2005-02-01,1755,2238,2338,Rudolf Huber,
Viking,R5,2026-04-27,1913,2163,2338,Dario Pendic,https://github.com/nbqofficial/viking
Nejmet,3.07,2003-06-23,2024,2268,2327,Jean-Christophe Gabillard,
Eeyore,1.52,2010-11-01,1975,2226,2296,Anton Maydell,
Kreveta,2.3.1,2026-05-12,1943,2206,2295,Daniel Michna,https://github.com/ZlomenyMesic/Kreveta
chess4j,6.3,2026-06-06,1851,2159,2295,James Swafford,https://github.com/jswaff/chess4j
Akerbeltz,1.1.0,2026-04-14,1926,2186,2279,Julen Aristondo,https://github.com/neluj/Akerbeltz
Echo,1.0.1,2026-07-04,1978,2237,2261,Ali Moumneh,https://github.com/AM-ML/Echo
Zeppelin,1.5.0,2026-03-27,1890,2169,2250,Jakub Szczerbinski,https://github.com/jszczerbinsky/zeppelin
Zeno,2.0,2026-03-08,1899,2138,2240,Oswald Nounagnon,https://github.com/Toudonou/zeno
Fktb,0.0.77,2026-01-18,1844,2130,2209,Landon Peng,https://github.com/lunbun/fktb
Zugblitz,1.3.2,2026-06-13,1827,2078,2190,,https://github.com/P1X3R/zugblitz
Radiance,4.4,2026-04-23,1696,2055,2180,Paul-Elie Pipelin,https://github.com/ppipelin/radiance
Echekinator,1.0,2025-11-25,1762,2044,2144,,https://github.com/Tym972/Echekinator
PurplePanda,21,2026-07-12,1706,1989,2103,Jakob Steininger,https://github.com/Jakob256/PurplePanda
Aether,1.0,2026-07-05,1733,1959,2030,Mohamed,https://github.com/ma787/aether
Chess-rs,0.7.0,2025-12-31,1685,1908,2010,Tom Cant,https://github.com/tomcant/chess-rs
Laura,4.0.0,2026-05-09,1752,1895,1985,Hans Tibberio,https://github.com/HansTibberio/Laura
Natto,0.1.9,2025-09-06,1584,1836,1928,,https://github.com/rglenister/natto
Rustic,3.0.6,2025-09-24,1623,1828,1904,Marcel Vanthoor,https://github.com/mvanthoor/rustic
ChessCore,1.2.0,2026-06-24,1395,1810,1863,Adam Berent,https://github.com/3583Bytes/ChessCore
Clue,0.0.4,2026-01-05,1543,1778,1848,Jean-Marc Astesana,https://github.com/fathzer-games/chesslib-uci-engine
Dinora,0.3.0,2025-05-22,,,1651,Zhubanyshev Alisher,https://github.com/Saegl/dinora
